"","FILE","MODEL","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","NUM_CLUSTERS","N_MONOMERS","FILE_N","RANK","inv.RANK","VIS","V1","Entry.Name","Gene.Names","Gene.Names..primary.","Gene.Names..synonym.","Organism","Organism..ID.","Protein.names","Proteomes","Taxonomic.lineage"
"11","IRAK1_Q6VN19_x1",1,4.37,61.12,0.2326,0.3566,0.0436,76,80,1,2,"IRAK1_Q6VN19_x1_2",1,5,NA,"Q6VN19","RBP10_MOUSE","Ranbp10 Kiaa1464","Ranbp10","Kiaa1464","Mus musculus (Mouse)",10090,"Ran-binding protein 10 (RanBP10)","UP000000589: Chromosome 8","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"12","IRAK1_Q6ZPF4_x1",1,1.68,57.19,0.222,0.2149,0.0436,161,227,1,2,"IRAK1_Q6ZPF4_x1_2",1,5,NA,"Q6ZPF4","FMNL3_MOUSE","Fmnl3 Frl2 Kiaa2014","Fmnl3","Frl2 Kiaa2014","Mus musculus (Mouse)",10090,"Formin-like protein 3","UP000000589: Chromosome 15","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"13","IRAK1_Q80ZM8_x1",1,1.47,57.54,0.2831,0.218,0.0437,56,62,1,2,"IRAK1_Q80ZM8_x1_2",1,5,NA,"Q80ZM8","CRLS1_MOUSE","Crls1","Crls1",NA,"Mus musculus (Mouse)",10090,"Cardiolipin synthase (CMP-forming) (CLS) (EC 2.7.8.41)","UP000000589: Chromosome 2","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"14","IRAK1_Q8CFE6_x1",1,4.82,64.52,0.2983,0.2804,0.1056,53,60,1,2,"IRAK1_Q8CFE6_x1_2",1,5,NA,"Q8CFE6","S38A2_MOUSE","Slc38a2 Ata2 Kiaa1382 Sat2 Snat2","Slc38a2","Ata2 Kiaa1382 Sat2 Snat2","Mus musculus (Mouse)",10090,"Sodium-coupled neutral amino acid symporter 2 (Amino acid transporter A2) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2)","UP000000589: Chromosome 15","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"15","IRAK1_Q99L28_x1",1,3.94,60.25,0.2325,0.1283,0.0165,34,29,1,2,"IRAK1_Q99L28_x1_2",1,5,NA,"Q99L28","RLP24_MOUSE","Rsl24d1","Rsl24d1",NA,"Mus musculus (Mouse)",10090,"Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)","UP000000589: Chromosome 9","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"16","IRAK1_Q99MD8_x1",4,3.24,44.04,0.2063,0.1972,0.0482,151,207,1,2,"IRAK1_Q99MD8_x1_2",1,5,NA,"Q99MD8","MYNN_MOUSE","Mynn","Mynn",NA,"Mus musculus (Mouse)",10090,"Myoneurin","UP000000589: Chromosome 3","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"17","IRAK1_Q99N32_x1",4,2.8,67.91,0.3529,0.5006,0.1357,139,172,1,2,"IRAK1_Q99N32_x1_2",1,5,NA,"Q99N32","KLOTB_MOUSE","Klb Betakl","Klb","Betakl","Mus musculus (Mouse)",10090,"Beta-klotho (BKL) (BetaKlotho) (Klotho beta-like protein)","UP000000589: Chromosome 5","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"18","IRAK1_Q9D8Y8_x1",2,1.15,57.55,0.2581,0.3904,0.1536,54,80,1,2,"IRAK1_Q9D8Y8_x1_2",1,5,NA,"Q9D8Y8","ING5_MOUSE","Ing5","Ing5",NA,"Mus musculus (Mouse)",10090,"Inhibitor of growth protein 5","UP000000589: Chromosome 1","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"19","IRAK1_Q9QUG2_x1",1,3.3,56.17,0.2553,0.3024,0.0964,168,185,1,2,"IRAK1_Q9QUG2_x1_2",1,5,NA,"Q9QUG2","POLK_MOUSE","Polk Dinb1","Polk","Dinb1","Mus musculus (Mouse)",10090,"DNA polymerase kappa (EC 2.7.7.7) (DINB protein) (DINP)","UP000000589: Chromosome 13","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"20","IRAK1_Q9R0T8_x1",1,3.81,64.56,0.2723,0.3843,0.0783,200,380,1,2,"IRAK1_Q9R0T8_x1_2",1,5,NA,"Q9R0T8","IKKE_MOUSE","Ikbke Ikke Ikki","Ikbke","Ikke Ikki","Mus musculus (Mouse)",10090,"Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)","UP000000589: Chromosome 1","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
